"CSV_File","Optimal_Gain"
"Te_3690_55.csv",2593
"Te_3648_56.csv",2320
"Te_3654_56.csv",2530
"Te_3660_56.csv",2813
"Te_3666_56.csv",2573
"Te_3672_56.csv",2505
"Te_3678_56.csv",2630
"Te_3684_56.csv",2561
"Te_3690_56.csv",2725
"Te_3648_57.csv",2343
"Te_3654_57.csv",2533
"Te_3660_57.csv",2621
"Te_3666_57.csv",2802
"Te_3672_57.csv",2684
"Te_3678_57.csv",2916
"Te_3684_57.csv",2557
"Te_3690_57.csv",2690
"Te_3648_58.csv",2412
"Te_3654_58.csv",2511
"Te_3660_58.csv",2578
"Te_3666_58.csv",2766
"Te_3672_58.csv",2544
"Te_3678_58.csv",2594
"Te_3684_58.csv",2790
"Te_3690_58.csv",2730
"Te_3648_59.csv",2434
"Te_3654_59.csv",2567
"Te_3660_59.csv",2480
"Te_3666_59.csv",2634
"Te_3672_59.csv",2635
"Te_3678_59.csv",2704
"Te_3684_59.csv",2567
"Te_3690_59.csv",2647
"Te_3648_60.csv",2385
"Te_3654_60.csv",2602
"Te_3660_60.csv",2687
"Te_3666_60.csv",2503
"Te_3672_60.csv",2569
"Te_3678_60.csv",2694
"Te_3684_60.csv",2671
"Te_3690_60.csv",2708
"Te_3648_61.csv",2589
"Te_3654_61.csv",2487
"Te_3660_61.csv",2354
"Te_3666_61.csv",2435
"Te_3672_61.csv",2700
"Te_3678_61.csv",2622
"Te_3684_61.csv",2712
"Te_3690_61.csv",2778
"Te_3648_62.csv",2465
"Te_3654_62.csv",2448
"Te_3660_62.csv",2490
"Te_3666_62.csv",2465
"Te_3672_62.csv",2741
"Te_3678_62.csv",2871
"Te_3684_62.csv",2639
"Te_3690_62.csv",2823
"Te_3648_63.csv",2480
"Te_3654_63.csv",2462
"Te_3660_63.csv",2642
"Te_3666_63.csv",2544
"Te_3672_63.csv",2761
"Te_3678_63.csv",2692
"Te_3684_63.csv",2599
"Te_3690_63.csv",2712
"Te_3648_64.csv",2297
"Te_3654_64.csv",2547
"Te_3660_64.csv",2405
"Te_3666_64.csv",2548
"Te_3672_64.csv",2538
"Te_3678_64.csv",2714
"Te_3684_64.csv",2919
"Te_3690_64.csv",2792
"Te_3648_65.csv",2421
"Te_3654_65.csv",2686
"Te_3660_65.csv",2577
"Te_3666_65.csv",2642
"Te_3672_65.csv",2642
"Te_3678_65.csv",2754
"Te_3684_65.csv",2708
"Te_3690_65.csv",2657
"Te_3648_66.csv",2345
"Te_3654_66.csv",2498
"Te_3660_66.csv",2531
"Te_3666_66.csv",2729
"Te_3672_66.csv",2632
"Te_3678_66.csv",2787
"Te_3684_66.csv",2687
"Te_3690_66.csv",2689
"Te_3648_67.csv",2548
"Te_3654_67.csv",2489
"Te_3660_67.csv",2517
"Te_3666_67.csv",2652
"Te_3672_67.csv",2718
"Te_3678_67.csv",2950
"Te_3684_67.csv",2695
"Te_3690_67.csv",2808
"Te_3648_68.csv",2413
"Te_3654_68.csv",2490
"Te_3660_68.csv",2620
"Te_3666_68.csv",2643
"Te_3672_68.csv",2584
"Te_3678_68.csv",2727
"Te_3684_68.csv",2642
"Te_3690_68.csv",2866
"Te_3648_69.csv",2523
"Te_3654_69.csv",2434
"Te_3660_69.csv",2615
"Te_3666_69.csv",2655
"Te_3672_69.csv",2574
"Te_3678_69.csv",2682
"Te_3684_69.csv",2828
"Te_3690_69.csv",2766
"Te_3648_70.csv",2350
"Te_3654_70.csv",2507
"Te_3660_70.csv",2723
"Te_3666_70.csv",2532
"Te_3672_70.csv",2465
"Te_3678_70.csv",2616
"Te_3684_70.csv",2726
"Te_3690_70.csv",2639
"Te_3648_71.csv",2562
"Te_3654_71.csv",2515
"Te_3660_71.csv",2567
"Te_3666_71.csv",2605
"Te_3672_71.csv",2658
"Te_3678_71.csv",2471
"Te_3684_71.csv",2814
"Te_3690_71.csv",2863
"Te_3648_72.csv",2289
"Te_3654_72.csv",2470
"Te_3660_72.csv",2651
"Te_3666_72.csv",2599
"Te_3672_72.csv",2776
"Te_3678_72.csv",2778
"Te_3684_72.csv",2756
"Te_3690_72.csv",2906
"Te_3648_73.csv",2377
"Te_3654_73.csv",2580
"Te_3660_73.csv",2680
"Te_3666_73.csv",2526
"Te_3672_73.csv",2795
"Te_3678_73.csv",2599
"Te_3684_73.csv",2557
"Te_3690_73.csv",2586
"Te_3648_74.csv",2520
"Te_3654_74.csv",2394
"Te_3660_74.csv",2458
"Te_3666_74.csv",2605
"Te_3672_74.csv",2684
"Te_3678_74.csv",2860
"Te_3684_74.csv",2621
"Te_3690_74.csv",3044
"Te_3648_75.csv",2351
"Te_3654_75.csv",2417
"Te_3660_75.csv",2511
"Te_3666_75.csv",2546
"Te_3672_75.csv",2684
"Te_3678_75.csv",2672
"Te_3684_75.csv",2805
"Te_3690_75.csv",2790
"Te_3648_76.csv",2389
"Te_3654_76.csv",2530
"Te_3660_76.csv",2525
"Te_3666_76.csv",2742
"Te_3672_76.csv",2632
"Te_3678_76.csv",2856
"Te_3684_76.csv",3047
"Te_3690_76.csv",2756
"Te_3648_77.csv",2500
"Te_3654_77.csv",2499
"Te_3660_77.csv",2606
"Te_3666_77.csv",2752
"Te_3672_77.csv",2405
"Te_3678_77.csv",2718
"Te_3684_77.csv",2789
"Te_3690_77.csv",2732
"Te_3648_78.csv",2503
"Te_3654_78.csv",2680
"Te_3660_78.csv",2427
"Te_3666_78.csv",2431
"Te_3672_78.csv",2679
"Te_3678_78.csv",2534
"Te_3684_78.csv",2905
"Te_3690_78.csv",2807
"Te_3648_79.csv",2491
"Te_3654_79.csv",2567
"Te_3660_79.csv",2725
"Te_3666_79.csv",2746
"Te_3672_79.csv",2534
"Te_3678_79.csv",2651
"Te_3684_79.csv",2980
"Te_3690_79.csv",2724
"Te_3648_80.csv",2474
"Te_3654_80.csv",2432
"Te_3660_80.csv",2311
"Te_3666_80.csv",2795
"Te_3672_80.csv",2627
"Te_3678_80.csv",2800
"Te_3684_80.csv",2691
"Te_3690_80.csv",2896
"Te_3648_81.csv",2464
"Te_3654_81.csv",2449
"Te_3660_81.csv",2563
"Te_3666_81.csv",2523
"Te_3672_81.csv",2687
"Te_3678_81.csv",2728
"Te_3684_81.csv",2566
"Te_3690_81.csv",2710
"Te_3648_82.csv",2402
"Te_3654_82.csv",2506
"Te_3660_82.csv",2631
"Te_3666_82.csv",2540
"Te_3672_82.csv",2682
"Te_3678_82.csv",2855
"Te_3684_82.csv",2732
"Te_3690_82.csv",2954
"Te_3648_83.csv",2552
"Te_3654_83.csv",2421
"Te_3660_83.csv",2408
"Te_3666_83.csv",2690
"Te_3672_83.csv",2639
"Te_3678_83.csv",2671
"Te_3684_83.csv",2717
"Te_3690_83.csv",2555
"Te_3648_84.csv",2510
"Te_3654_84.csv",2570
"Te_3660_84.csv",2527
"Te_3666_84.csv",2532
"Te_3672_84.csv",2708
"Te_3678_84.csv",2763
"Te_3684_84.csv",2940
"Te_3690_84.csv",2862
"Te_3648_85.csv",2485
"Te_3654_85.csv",2498
"Te_3660_85.csv",2444
"Te_3666_85.csv",2527
"Te_3672_85.csv",2558
"Te_3678_85.csv",2619
"Te_3684_85.csv",2669
"Te_3690_85.csv",2669
"Te_3648_86.csv",2501
"Te_3654_86.csv",2397
"Te_3660_86.csv",2550
"Te_3666_86.csv",2621
"Te_3672_86.csv",2668
"Te_3678_86.csv",2634
"Te_3684_86.csv",2679
"Te_3690_86.csv",2615
"Te_3648_87.csv",2454
"Te_3654_87.csv",2504
"Te_3660_87.csv",2599
"Te_3666_87.csv",2630
"Te_3672_87.csv",2622
"Te_3678_87.csv",2664
"Te_3684_87.csv",2743
"Te_3690_87.csv",2927
"Te_3648_88.csv",2503
"Te_3654_88.csv",2492
"Te_3660_88.csv",2753
"Te_3666_88.csv",2686
"Te_3672_88.csv",2723
"Te_3678_88.csv",2676
"Te_3684_88.csv",2677
"Te_3690_88.csv",2753
"Te_3648_89.csv",2374
"Te_3654_89.csv",2584
"Te_3660_89.csv",2603
"Te_3666_89.csv",2521
"Te_3672_89.csv",2541
"Te_3678_89.csv",2554
"Te_3684_89.csv",2850
"Te_3690_89.csv",2826
"Te_3648_90.csv",2442
"Te_3654_90.csv",2498
"Te_3660_90.csv",2695
"Te_3666_90.csv",2811
"Te_3672_90.csv",2637
"Te_3678_90.csv",2815
"Te_3684_90.csv",2738
"Te_3690_90.csv",2647
"Te_3648_91.csv",2420
"Te_3654_91.csv",2698
"Te_3660_91.csv",2496
"Te_3666_91.csv",2709
"Te_3672_91.csv",2668
"Te_3678_91.csv",2647
"Te_3684_91.csv",2807
"Te_3690_91.csv",2781
"Te_3648_92.csv",2402
"Te_3654_92.csv",2401
"Te_3660_92.csv",2540
"Te_3666_92.csv",2756
"Te_3672_92.csv",2692
"Te_3678_92.csv",2748
"Te_3684_92.csv",2733
"Te_3690_92.csv",2701
"Te_3648_93.csv",2344
"Te_3654_93.csv",2540
"Te_3660_93.csv",2724
"Te_3666_93.csv",2573
"Te_3672_93.csv",2648
"Te_3678_93.csv",2552
"Te_3684_93.csv",2802
"Te_3690_93.csv",2681
"Te_3648_94.csv",2585
"Te_3654_94.csv",2356
"Te_3660_94.csv",2593
"Te_3666_94.csv",2425
"Te_3672_94.csv",2479
"Te_3678_94.csv",2750
"Te_3684_94.csv",2683
"Te_3690_94.csv",2628
"Te_3648_95.csv",2426
"Te_3654_95.csv",2637
"Te_3660_95.csv",2693
"Te_3666_95.csv",2624
"Te_3672_95.csv",2687
"Te_3678_95.csv",2622
"Te_3684_95.csv",2755
"Te_3690_95.csv",2636
"Te_3648_96.csv",2472
"Te_3654_96.csv",2526
"Te_3660_96.csv",2539
"Te_3666_96.csv",2460
"Te_3672_96.csv",2705
"Te_3678_96.csv",2670
"Te_3684_96.csv",2671
"Te_3690_96.csv",2699
